game_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,Money Line
0041700215,0,L,1,4,0.2,240,40,82,0.488,8,21,0.381,24,31,1,12,36,48,26,5,6,16,31,112,1610612738,2017,103.00
0041700235,0,L,1,4,0.2,240,41,88,0.466,10,24,0.417,12,16,1,4,40,44,26,7,4,14,12,104,1610612744,2017,719.00
0041700235,1,W,4,1,0.8,240,48,99,0.485,7,27,0.259,10,12,1,11,41,52,35,10,2,12,18,113,1610612740,2017,-923.00
0041700225,0,L,1,4,0.2,240,38,81,0.469,10,28,0.357,16,21,1,11,30,41,24,5,5,12,18,102,1610612745,2017,688.00
0041700225,1,W,4,1,0.8,240,40,83,0.482,18,39,0.462,14,17,1,6,34,40,21,10,8,9,18,112,1610612762,2017,-875.00
0041700214,0,L,3,1,0.75,240,31,75,0.413,11,32,0.344,19,26,1,6,36,42,16,4,10,15,28,92,1610612755,2017,282.00
0041700214,1,W,1,3,0.25,240,38,94,0.404,7,26,0.269,20,26,1,16,37,53,24,6,3,8,23,103,1610612738,2017,-321.00
0041700204,1,W,4,0,1,240,50,84,0.595,12,26,0.462,16,20,1,6,31,37,29,9,5,10,21,128,1610612761,2017,-205.00
0041700204,0,L,0,4,0,240,36,79,0.456,4,15,0.267,17,23,1,9,23,32,19,3,5,13,24,93,1610612739,2017,184.00
0041700234,1,L,1,3,0.25,240,32,88,0.364,4,26,0.154,24,30,1,10,41,51,17,7,4,19,21,92,1610612744,2017,221.00
0041700234,0,W,3,1,0.75,240,46,95,0.484,11,33,0.333,15,18,1,5,40,45,28,11,5,11,20,118,1610612740,2017,-248.00
0041700224,1,L,1,3,0.25,240,32,83,0.386,7,29,0.241,16,20,1,8,37,45,16,8,5,16,21,87,1610612745,2017,235.00
0041700224,0,W,3,1,0.75,240,37,88,0.42,10,38,0.263,16,17,1,9,40,49,15,11,9,13,21,100,1610612762,2017,-255.00
0041700213,0,W,3,0,1,265,41,91,0.451,10,38,0.263,9,14,1,9,40,49,19,9,7,13,20,101,1610612755,2017,450.00
0041700213,1,L,0,3,0,265,38,97,0.392,9,30,0.3,13,18,1,13,37,50,23,8,5,14,14,98,1610612738,2017,-535.00
0041700203,1,W,3,0,1,240,38,79,0.481,9,25,0.36,20,25,1,6,30,36,18,7,4,10,19,105,1610612761,2017,-189.00
0041700203,0,L,0,3,0,240,35,75,0.467,13,33,0.394,20,25,1,12,29,41,14,5,11,17,28,103,1610612739,2017,170.00
0041700233,1,W,1,2,0.333,240,48,96,0.5,14,31,0.452,9,12,1,10,44,54,36,7,3,15,20,119,1610612744,2017,188.00
0041700233,0,L,2,1,0.667,240,35,92,0.38,9,31,0.29,21,26,1,10,34,44,22,11,4,12,17,100,1610612740,2017,-210.00
